row_id,job_url
1,https://job-openings.monster.com/Data-Scientist-Portland-OR-US-comScore-Inc/22/c9442e87-63ae-4144-8d59-aebf2eeabeb6
2,https://job-openings.monster.com/Data-Scientist-Irving-TX-US-LRS/22/beb42208-cd62-4f5b-9953-0e73e6ea0775
3,https://job-openings.monster.com/Data-Scientist-Morris-Plains-NJ-US-Weichert/22/42bea16f-2d9d-43e5-8636-c53d07c84b73
4,https://job-openings.monster.com/Data-Scientist-Mid-Springfield-VA-US-Booz-Allen-Hamilton/22/b4bc92ac-fe2f-48d0-8486-fced01cc6302
5,https://job-openings.monster.com/Data-Scientist-Pricing-Revenue-Management-HOUSTON-TX-US-Waste-Management/22/4fc86890-e041-4acb-b21e-94438ddc5aec
6,https://job-openings.monster.com/Real-World-Data-Scientist-HEOR-Plainsboro-NJ-US-Alpha-Consulting-Corp/11/194435922
7,https://job-openings.monster.com/Data-Scientist-Chicago-IL-US-Analytic-Recruiting-Inc/11/193998594
8,https://job-openings.monster.com/Data-Scientist-Manager-portland-ME-US-NTT-DATA-Services/11/193975188
9,https://job-openings.monster.com/Data-Scientist-Manager-2-McLean-VA-US-Northrop-Grumman/11/194343604
10,https://job-openings.monster.com/Data-Scientist-Junior-Level-Sunrise-FL-US-Hays/11/194214732
11,https://job-openings.monster.com/Data-Scientist-San-Francisco-CA-US-Catapult-Staffing/11/194002146
12,https://job-openings.monster.com/Sr-Lead-Data-Scientist-Tampa-FL-US-Altamira-Technologies-Corporation/11/192729170
13,https://job-openings.monster.com/Data-Scientist-Richardson-TX-US-Agile-Global-Solutions-Inc/11/193663693
14,https://job-openings.monster.com/Data-Scientist-Norcross-GA-US-Market-Force-Information/11/193516271
15,https://job-openings.monster.com/CONTRACT-Data-Scientist-NTD-Job-Number-180000000E-Redmond-WA-US-Nintendo/22/7450a4af-ac1f-425b-9f2e-15aa91d0d2bd
16,https://job-openings.monster.com/ML-Developer-Data-Scientist-recent-MS-grad-Reston-VA-US-Ellucian-Inc/22/0144a31f-51d1-4d6a-870f-d3c1d4a5fd3a
17,https://job-openings.monster.com/Data-Scientist-Engineer-Bellevue-WA-US-Integrated-Resources-Inc/11/193530028
18,https://job-openings.monster.com/Data-Scientist-Malden-MA-US-Strategic-IT-Staffing/11/193539172
19,https://job-openings.monster.com/Data-Scientist-Mountain-View-CA-US-Genesis10/11/194396351
20,https://job-openings.monster.com/Lead-Data-Scientist-New-York-NY-US-X4-Group-Ltd/11/193913714
21,https://job-openings.monster.com/Data-Scientist-Advisor-Bedford-MA-US-Randstad-Technologies/11/194354449
22,https://job-openings.monster.com/Data-Scientist-with-HealthCare-Experience-Madison-WI-US-Prospect-Infosys-Inc/11/194351132
23,https://job-openings.monster.com/Data-Scientist-Detroit-MI-US-Meridian-Health-Plan/11/193894986
24,https://job-openings.monster.com/DataWarehouse-Data-Scientist-Topeka-KS-US-Genuent/11/194312468
25,https://job-openings.monster.com/Data-Scientist-Birmingham-AL-US-Altec-Industries/22/32f110db-7a67-4615-891e-a45de13840cd
26,https://job-openings.monster.com/PhD-Data-Scientist-Machine-Learning-Stamford-CT-US-StaffRight-Associates/11/194246599
27,https://job-openings.monster.com/SAP-Data-Scientist-Chaska-MN-US-Entegris-Inc/22/c845dc19-1efe-46f1-9d3a-c1e2eb30a950
28,https://job-openings.monster.com/Data-Scientist-NEW-YORK-CITY-NY-US-Open-Systems-Technologies/11/193793825
29,https://job-openings.monster.com/Data-Scientist-Greenwich-CT-US-Alans-Group/11/194182854
30,https://job-openings.monster.com/Data-Scientist-Cherry-Hill-NJ-US-firstPRO-Inc/11/194130491
31,https://job-openings.monster.com/Data-Scientist-%E2%80%93-Data-Visualization-Dearborn-MI-US-Ford-Motor-Company/11/194082481
32,https://job-openings.monster.com/Data-analyst-Data-Scientist-houston-TX-US-Tech-Mahindra-Limited/11/194110880
33,https://job-openings.monster.com/Data-Scientist-Boston-MA-US-EBNHC/11/194061713
34,https://job-openings.monster.com/Data-Scientist-Bellevue-WA-US-Inabia-Software/11/192616607
35,https://job-openings.monster.com/IDS-Data-Scientist-3-Newport-News-VA-US-NN-SHIPBUILDING-0265/11/193950628
36,https://job-openings.monster.com/DATA-SCIENTIST-CREDIT-RISK-Irving-TX-US-Cottonwood-Financial/11/193029119
37,https://job-openings.monster.com/Data-Scientist-Boston-MA-US-SNI-Technology/11/193896245
